Alias,Information Visualization,Statistical,Mathematics,Drawing and artistic,Computer usage,Programming,Computer graphics programming,HCI programming,UX evaluation,Communication,Collaboration,Code repository,Major,Interests,Expectations,Courses,In 5 years
Jericho,5,5,6,4,6,6,5,3,2,3,5,4,Computer Science,"I like gaming (both digital and physical), whiskey, specific cooking, gardens (oriental especially), bouldering without a raging pandemic, and sleep.","I have zero ideas of what my expectations would be, but hopefully relevant for the track I've chosen, given that the course is conditionally elective for my track. I did a really fun and enjoyable project in MVK that was heavily centered on visualising information, so that certainly set a positive standard.","Basically, only MVK in third year (different study plan), and only because of the theme of the project.","Industry. I want to simply be employed, and have financial stability doing something that won't physically or mentally break me at any point."
no one,3,6,8,1,8,8,7,3,1,5,5,5,Computer Science,,skills for human-computer interaction,none,algorithm engineer
C3I2,6,9,6,2,8,6,5,6,7,8,6,6,Finance,Wargaming,"Its no point doing the analytics if you can't communicate it to the decisionmaker(s) and I want to improve my graphical communication skills, as this is a valuable tool for me professionally.",I have completed over 200 MOOCs and at least some of the Datascience oriented ones in R- and Python-programming have had relevant material in regards to graphics and interactive material. You can say that those MOOCs are the reason I applied to this course.,Self employed most likely
Monsterhunter98,4,4,6,4,7,7,4,4,4,6,6,6,Computer Science,,Visualization in data. I hope to use the skills in business analysis.,"Computer graphics.  Fudan University 2020
Introduction to Visualization, Computer Graphics and Image/Video Processing KTH, now",Industry. I expect to become a qualified technical engineer.
raspberry666,1,3,6,3,7,6,5,6,2,8,7,3,Computer Science,"Litterature, politics, gaming","I want to learn how to present graphs, excel sheets, data in really cool ways so I can get top score on r/dataisbeautiful","The introduction to graphics course, and the basic statistics math course, beside all the programming courses",Entrepreneur if everything went 5/5
User14,3,5,5,5,8,5,3,6,6,10,8,4,Media Technology,,I expect to learn more about the process; from having data (how to take care of it & how to use it) to displaying it (different visualization options & implementing it). I would also like if this turned out to be an eye opener where I learned about things I didn't consider or knew about before. The things I learn I hope to use in my future employment and I also think the things I learn can come handy in many other situations too,"All of the courses are within the media technology program, kth: Calculus one variables (2018) and several variables (2019), probability therory & statistics (2020) human computer interaction (2019), interaction programming and the dynamic web (2020), mobile development with web technologies (2020), interaction design (2020), human perception (2020), multimodal interaction (2021) ",
solarpunk,4,3,5,9,9,5,5,6,6,10,10,4,"Computer Science, Media Technology",,I want to use these skills for web development primarily.,"DM2601, KTH, Nov 2020; Data Structures, India, Feb 2016; Discrete Structures, India, Dec 2016; DBMS, India, May 2017; Computer Graphics, India, Dec 2017;","I imagine myself working in an elevated position in a startup that uses next-gen technologies. This could be AR/XR, game dev, and web dev."
shuriken,3,3,3,3,7,7,3,3,3,7,4,10,Media Technology,Creating seamless User experiences,Thinking about how to represent information in different ways,"HCI, Interactive Media technology",Researcher
seed2,3,5,5,3,7,3,1,3,3,7,8,1,Media Technology,"music, films, games, digital art",visualizing datasets. for research/work/artistic purposes,"Intro to Statistics, Econometrics",
Unchain,1,2,2,9,9,9,5,7,1,9,9,7,Media Technology,,Visualize the data in clear and fancy ways,No,Product designer or product manager
AGreatAlias19,1,2,5,7,7,2,1,3,6,10,8,2,Media Technology,I like crocheting!,To process and visualize data in an interesting way,"Interaction programming for the dynamic web, a year ago, at KTH","I would like to possibly have begin a PhD, or work with project management or interaction design"
ratponto,6,8,8,7,9,7,5,7,6,6,7,7,Computer Science,"running,drawing,reading","use to visualise experiment result, find alternative/effective ways to display results",took visualisation courses in architecture department,Academia
Banana,2,3,7,3,8,5,1,2,2,10,9,7,Media Technology,"Travelling, photography, music ",How to make visualizations from data that is easy to interpret and also look good. Will probably come in handy; good to know how to. ,"DM2350 Mänsklig perception för informationsteknik, DM2601 Medieteknik och interaktionsdesign, DD1334 Databasteknik, DH2642 Interaktionsprogrammering och dynamiska webben, SF1919 Sannolikhetsteori och statistik, SF1626 Flervariabelanalys etc. Courses from Media Technology Bachelor (interactive track) and Visual Media Interactive Media Master ","Fullstack or frontend developer, UX/UI, maybe consultant"
JoHa,6,9,9,8,9,8,7,6,6,7,6,9,Transport Science,Triathlon,Visualize my research results for presentation and communication of my research project,None,
ginger,1,5,8,5,6,10,6,5,1,1,7,9,Computer Science,,"Given a set of data, how to make visualization so that other people could easily understand the information.",no,
